Region,Año,Tipos_delito,Ordenado_por,Familia_delito,Grupo_delito,Subgrupo_delito,Cantidad
Atacama,2016,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,0
Atacama,2017,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,0
Atacama,2018,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,0
Atacama,2019,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,4
Atacama,2020,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,27
Atacama,2021,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,23
Atacama,2022,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,27
Atacama,2023,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,34
Atacama,2024,Acosos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Acosos sexuales,26
Atacama,2013,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,19
Atacama,2014,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,17
Atacama,2015,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,9
Atacama,2016,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,20
Atacama,2017,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,17
Atacama,2018,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,20
Atacama,2019,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,25
Atacama,2020,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,13
Atacama,2021,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,20
Atacama,2022,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,13
Atacama,2023,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,23
Atacama,2024,Otros delitos sexuales,Subgrupo,Delitos contra la vida o integridad de las personas,Violaciones y delitos sexuales,Otros delitos sexuales,19
Atacama,2013,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,193
Atacama,2014,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,212
Atacama,2015,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,178
Atacama,2016,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,173
Atacama,2017,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,135
Atacama,2018,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,153
Atacama,2019,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,157
Atacama,2020,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,135
Atacama,2021,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,153
Atacama,2022,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,172
Atacama,2023,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,170
Atacama,2024,Lesiones graves o gravísimas,Grupo,Delitos contra la vida o integridad de las personas,Lesiones graves o gravísimas,Otros delitos sexuales,137
Atacama,2013,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,159
Atacama,2014,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,170
Atacama,2015,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,144
Atacama,2016,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,172
Atacama,2017,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,154
Atacama,2018,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,212
Atacama,2019,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,242
Atacama,2020,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,190
Atacama,2021,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,204
Atacama,2022,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,267
Atacama,2023,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,222
Atacama,2024,Lesiones menos graves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones menos graves,Otros delitos sexuales,217
Atacama,2013,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1776
Atacama,2014,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1423
Atacama,2015,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1304
Atacama,2016,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1253
Atacama,2017,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1066
Atacama,2018,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1149
Atacama,2019,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1286
Atacama,2020,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,989
Atacama,2021,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,990
Atacama,2022,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1332
Atacama,2023,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1287
Atacama,2024,Lesiones leves,Grupo,Delitos contra la vida o integridad de las personas,Lesiones leves,Otros delitos sexuales,1228
Atacama,2013,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,2659
Atacama,2014,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,2255
Atacama,2015,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,1936
Atacama,2016,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,1932
Atacama,2017,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,1984
Atacama,2018,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,1953
Atacama,2019,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,2268
Atacama,2020,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,2177
Atacama,2021,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,2222
Atacama,2022,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,2650
Atacama,2023,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,2563
Atacama,2024,Amenazas,Grupo,Delitos contra la vida o integridad de las personas,Amenazas,Otros delitos sexuales,2331
Atacama,2013,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1078
Atacama,2014,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1301
Atacama,2015,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1188
Atacama,2016,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1211
Atacama,2017,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1012
Atacama,2018,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1068
Atacama,2019,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1124
Atacama,2020,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,838
Atacama,2021,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,750
Atacama,2022,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1408
Atacama,2023,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1403
Atacama,2024,Robos violentos,Familia de delitos,Robos violentos,Amenazas,Otros delitos sexuales,1378
Atacama,2013,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,623
Atacama,2014,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,800
Atacama,2015,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,721
Atacama,2016,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,832
Atacama,2017,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,698
Atacama,2018,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,725
Atacama,2019,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,824
Atacama,2020,Robos con violencia o intimidación,Grupo,Robos violentos,Robos con violencia o intimidación,Otros delitos sexuales,636
